Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,13.690602,13.757854,13.594527,13.623349,4.409836,8244257
2000-01-04,13.450416,13.536882,13.219837,13.267874,4.294772,8522096
2000-01-05,13.142977,13.210230,12.912399,12.970044,4.198365,12159826
2000-01-06,12.970044,12.970044,12.970044,12.970044,4.198365,0
2000-01-07,13.248659,13.248659,12.998866,13.133370,4.251232,62261944
2000-01-10,13.277482,13.277482,12.902791,12.922006,4.182814,58740351
2000-01-11,12.873969,12.893184,12.537709,12.662605,4.098848,6761292
2000-01-12,12.643391,12.643391,12.393597,12.518494,4.085458,8266754
2000-01-13,12.489672,12.537709,12.105374,12.211056,3.985127,9372669
2000-01-14,12.297523,12.480064,12.230271,12.451242,4.063512,8538333
2000-01-17,12.537709,12.537709,12.307130,12.335952,4.025885,6825078
2000-01-18,12.307130,12.326345,11.942047,12.076552,3.941230,9698972
2000-01-19,11.855580,12.057337,11.817151,12.057337,3.934959,13027455
2000-01-20,12.105374,12.163019,11.922833,12.038122,3.928687,9459285
2000-01-21,11.942047,12.009300,11.749899,11.788328,3.847168,6786146
2000-01-24,12.047729,12.047729,11.817151,11.845973,3.865981,5863878
2000-01-25,11.836366,12.259093,11.797936,12.105374,3.950637,9429700
2000-01-26,12.297523,12.537709,12.153411,12.480064,4.072917,9120798
2000-01-27,12.614568,13.114155,12.547316,12.970044,4.232824,13662088
2000-01-28,13.171800,13.171800,12.585746,12.922006,4.217147,16119882
2000-01-31,12.931614,12.979651,12.585746,12.729858,4.154440,9868382
2000-02-01,12.902791,13.008473,12.691428,12.902791,4.210876,9530743
2000-02-02,12.931614,12.931614,12.672213,12.864362,4.198334,7648463
2000-02-03,12.893184,13.114155,12.691428,12.970044,4.232824,7766488
2000-02-04,13.114155,13.114155,12.729858,12.777895,4.170117,10516943
2000-02-07,12.806717,12.854754,12.508886,12.537709,4.091733,8135156
2000-02-08,12.528101,13.018081,12.383990,13.018081,4.248501,13714517
2000-02-09,13.066118,13.066118,12.652998,12.701035,4.145033,9070278
2000-02-10,12.585746,12.681820,12.489672,12.508886,4.082325,8404876
2000-02-11,12.528101,13.623349,12.297523,13.469630,4.395867,24338356
2000-02-14,14.411160,16.178928,14.026862,15.035643,4.906940,59647471
2000-02-15,15.275829,15.275829,14.593701,14.651346,4.781524,23093519
2000-02-16,14.699383,14.939569,14.564879,14.708990,4.800335,19374515
2000-02-17,14.574486,14.843494,14.574486,14.708990,4.800335,10019217
2000-02-18,14.660953,14.795457,14.526449,14.728205,4.806607,13772503
2000-02-21,14.411160,14.699383,14.411160,14.641738,4.778387,10726790
2000-02-22,14.411160,14.603308,14.411160,14.439982,4.712543,14620960
2000-02-23,14.449589,14.872317,14.439982,14.833887,4.841096,14342436
2000-02-24,14.891532,15.295044,14.795457,15.054858,4.913214,17306014
2000-02-25,15.083680,15.256614,15.026036,15.083680,4.922616,10362673
2000-02-28,14.853102,14.891532,14.584093,14.747420,4.812879,7457895
2000-02-29,14.824279,14.862709,14.507234,14.507234,4.734492,8498634
2000-03-01,14.555271,14.689775,14.420767,14.651346,4.781524,9312142
2000-03-02,14.651346,14.680168,14.315085,14.593701,4.762712,7597565
2000-03-03,14.651346,14.651346,14.372730,14.651346,4.781524,7755245
